Ref_num,No,Author,Beam Name,unit,shape,h,dp,ds,d,bw,btop,bbot,ttop,tbot,bslab,tslab,yb,egc,Ag,Ig,Ic,L,aa,ba,a_d,M_Vd,Loading,control,fctest,fpc,f1c,fcslab,test,fcttest,f1t,agg,Aps,fpy,fpu,rhopl,d_Angle,fse,As,fy,rhol,Av,fvy,sv,rhov,rhovfvy,Vtest,Mn,Mf,Mf_Mn,Failure
43,R0043_031,"Ahmad, Kahloo (1986)",C7,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,81,4,6,4,3,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,10.2,48.2,27.7,0.6,S
43,R0043_032,"Ahmad, Kahloo (1986)",C8,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,65,4,6,3,2,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,10,48.2,20.3,0.4,S
43,R0043_033,"Ahmad, Kahloo (1986)",C9,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,60,4,6,2.7,1.7,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,10.2,48.2,18.7,0.4,S
43,R0043_034,"Ahmad, Kahloo (1986)",C10,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,53,4,6,2.3,1.3,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,12.8,48.2,19.9,0.4,S
43,R0043_035,"Ahmad, Kahloo (1986)",C11,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,49,4,6,2,1,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,24,48.2,32.5,0.7,S
43,R0043_036,"Ahmad, Kahloo (1986)",C12,U,R,10,0,8.13,8.13,5,0,0,0,0,0,0,5,0,50,417,417,32,4,6,1,0.5,SS-2PL,,,9566,,0,,465,,0.5,0,0,0,0,0,0,1.32,60,3.26,0,0,0,0,0,55,48.2,37.3,0.8,S
44,R0044_001,"Mphonde, Frantz (1984)",AO-3-3b,U,R,13.25,0,11.75,11.75,6,0,0,0,0,0,0,6.63,0,2,1163,1163,84,4,6,3.6,2.6,SS-1PL,,,3273,,0,,229,,0,0,0,0,0,0,0,2.35,60,3.36,0,0,0,0,0,14.52,83.6,51.2,0.6,S
44,R0044_002,"Mphonde, Frantz (1984)",AO-3-3c,U,R,13.25,0,11.75,11.75,6,0,0,0,0,0,0,6.63,0,2,1163,1163,84,4,6,3.6,2.6,SS-1PL,,,4277,,0,,274,,0,0,0,0,0,0,0,2.08,60,2.32,0,0,0,0,0,15.02,94.5,52.9,0.6,S
44,R0044_003,"Mphonde, Frantz (1984)",AO-7-3a,U,R,13.25,0,11.75,11.75,6,0,0,0,0,0,0,6.63,0,2,1163,1163,84,4,6,3.6,2.6,SS-1PL,,,5938,,0,,340,,0,0,0,0,0,0,0,2.35,60,3.36,0,0,0,0,0,18.47,112.3,65.1,0.6,S
44,R0044_004,"Mphonde, Frantz (1984)",AO-7-3b,U,R,13.25,0,11.75,11.75,6,0,0,0,0,0,0,6.63,0,2,1163,1163,84,4,6,3.6,2.6,SS-1PL,,,6562,,0,,364,,0,0,0,0,0,0,0,2.35,60,3.36,0,0,0,0,0,18.61,114.6,65.6,0.6,S
